Date,DXY Index,ADXY Index,SPX Index,LQD US Equity,LF98TRUU Index,TLT US Equity,USGG2YR Index,CCMP Index,CRB CMDT Index,EUCRBRDT Index,LOCADY Comdty,XAU Curncy,AMZN US Equity
15/10/10,77.041,115.93,1176.19,111.36,1192.97,100.27,0.3589,2468.77,489.76,82.35,8362.5,1368.4,8.232
18/10/10,76.934,115.64,1184.71,112.13,1194.01,101.08,0.3589,2480.66,489.68,83.53,8340.5,1368.6,8.178
19/10/10,78.184,114.89,1165.9,112.14,1193.9,101.69,0.3589,2436.95,487.46,80.1,8295,1332,7.934
20/10/10,77.171,115.48,1178.17,112.34,1193.52,101.91,0.3427,2457.39,488.09,82.89,8250,1346.04,7.934
21/10/10,77.418,115.25,1180.27,112.04,1194.92,100.7,0.3507,2459.67,487.54,81.18,8406,1325.72,8.249
22/10/10,77.472,115.32,1183.08,112.18,1196.25,101.38,0.3506,2479.39,487.88,82.03,8309.5,1328.55,8.457
25/10/10,77.103,115.64,1185.62,112.58,1198.87,101.67,0.3587,2490.85,489.67,82.57,8501,1339.91,8.45
26/10/10,77.708,115.26,1185.64,111.98,1200.67,100.1,0.3913,2497.29,493.93,82.6,8466,1340.54,8.497
27/10/10,78.149,115,1182.45,111.69,1201.28,99.22,0.4143,2503.26,491.99,82.81,8332,1325.3,8.375
28/10/10,77.308,115.34,1183.78,112.14,1202.82,99.49,0.3593,2507.37,491.27,82.55,8332,1343.91,8.342
29/10/10,77.266,115.42,1183.26,112.36,1203.68,100.42,0.3357,2507.41,490.03,82.63,8225,1359.4,8.262
1/11/10,77.296,115.46,1184.39,111.89,1204.16,99.67,0.3435,2504.84,489.96,84.37,8339,1353.83,8.129
2/11/10,76.722,115.74,1193.57,112.41,1205.3,100.98,0.3435,2533.52,490.08,85.49,8396,1357.5,8.231
3/11/10,76.481,115.97,1197.96,112.04,1206.45,98.92,0.3277,2540.27,494.36,86.11,8400.5,1348.54,8.424
4/11/10,75.882,116.1,1221.06,113.1,1211.63,99.69,0.3276,2577.34,500.01,87.45,8521.5,1392.53,8.447
5/11/10,76.548,115.85,1225.85,112.74,1214.28,97.98,0.3671,2578.98,500.03,88.14,8700,1393.63,8.539
8/11/10,77.027,115.88,1223.25,112.8,1215.98,98.42,0.3988,2580.05,496.69,88.06,8672,1409.43,8.6
9/11/10,77.443,115.81,1213.4,111.96,1216.56,96.25,0.4387,2562.98,500.08,87.59,8844.5,1393.14,8.514
10/11/10,77.634,116.29,1218.71,111.72,1213.23,96.38,0.4229,2578.78,498.54,88.65,8729,1403.98,8.667
11/11/10,78.217,116.18,1213.54,111.23,1213.23,96.33,0.4231,2555.52,501.34,88.47,8925,1408.8,8.519
12/11/10,78.082,115.38,1199.21,110.45,1209.1,95.81,0.5036,2518.21,495.45,85.55,8715,1368.75,8.284
15/11/10,78.518,115.31,1197.75,109.24,1206.6,93.81,0.5358,2513.82,493.59,85.93,8590,1360.58,7.945
16/11/10,79.21,114.91,1178.34,109.82,1199.63,96.138,0.4957,2469.84,487.68,84.18,8483.5,1339.63,7.889
17/11/10,79.084,114.83,1178.59,109.82,1198.81,95.61,0.4798,2476.01,481.96,82.6,8145,1336.05,7.917
18/11/10,78.617,115.5,1196.69,109.9,1201.44,96,0.4961,2514.4,487.37,84.78,8386,1353.43,8.208
19/11/10,78.504,115.31,1199.73,110.28,1200.14,96.59,0.5047,2518.12,488.06,83.62,8409,1353.63,8.241
22/11/10,78.682,114.96,1197.84,110.89,1199.59,97,0.4642,2532.02,485.02,83.2,8405.5,1366.8,8.519
23/11/10,79.681,114.32,1180.73,110.95,1195.15,97.48,0.4529,2494.95,483.24,82.43,8149,1376.45,8.41
24/11/10,79.867,114.63,1198.35,110.04,1193.56,95.74,0.5315,2543.12,487.61,85.77,8254.5,1373.31,8.863
25/11/10,79.73,114.81,1198.35,110.04,1193.56,95.74,0.5315,2543.12,487.76,85.38,8290,1375.35,8.863
26/11/10,80.357,114.03,1189.4,110.18,1194.22,97.07,0.5079,2534.56,486.31,85.21,8288,1363.8,8.875
29/11/10,80.835,114.08,1187.76,110.29,1192.52,97.9,0.5079,2525.22,484.22,86.85,8319.5,1366.31,8.975
30/11/10,81.195,114.3,1180.55,110.12,1189.62,98.41,0.4528,2498.23,483.96,84.91,8375,1386.23,8.77
1/12/10,80.713,114.91,1206.07,109.45,1192.23,95.894,0.5315,2549.43,490.1,88.56,8540,1387.9,8.828
2/12/10,80.303,114.79,1221.53,109.21,1195.29,95.64,0.5395,2579.35,493.01,90.05,8711.5,1385.15,8.827
3/12/10,79.377,115.3,1224.71,108.9,1197.02,94.89,0.4683,2591.46,498.29,91.12,8754,1414.08,8.784
6/12/10,79.571,115.02,1223.12,109.66,1199.18,96.23,0.4207,2594.92,500.15,90.57,8780,1423.75,8.903
7/12/10,79.857,115.25,1223.75,108.64,1201.46,94.17,0.5318,2598.49,501.46,90.76,9024,1402.08,8.839
8/12/10,79.997,114.8,1228.28,107.94,1200.33,93.26,0.6275,2609.16,503.87,90.91,8882,1382.03,8.814
9/12/10,80.069,115.06,1233,108.2,1200.56,93.72,0.6197,2616.67,505.6,90.54,9041.5,1387.11,8.743
10/12/10,80.07,115.2,1240.4,107.7,1200.74,93.15,0.6363,2637.54,503.96,90.16,9116,1386.13,8.781
13/12/10,79.284,115.08,1240.46,108.1,1201.82,93.5,0.5802,2624.91,506.12,90.37,9211,1394.13,8.713
14/12/10,79.367,115.19,1241.59,107.44,1201.57,92.135,0.6528,2627.72,502.64,90.92,9260,1396.2,8.697
15/12/10,80.261,114.43,1235.23,106.77,1200.38,90.94,0.6691,2617.22,503.85,91.38,9101,1380.84,8.779
16/12/10,80.181,114.72,1242.87,107.29,1200.4,91.57,0.637,2637.31,505.1,91.42,9050,1370.18,8.902
17/12/10,80.373,114.54,1243.91,108.27,1201.02,93.24,0.6052,2642.97,505.8,91.4,9101.5,1375.38,8.879
20/12/10,80.628,114.45,1247.08,108.2,1202.1,93.14,0.5972,2649.56,508.09,92.22,9250,1385.3,9.165
21/12/10,80.718,114.79,1254.6,108.43,1203.57,93.79,0.6055,2667.61,511.97,93.12,9410,1385.6,9.238
22/12/10,80.727,115.02,1258.84,108.34,1204.71,93.12,0.63,2671.48,512.92,93.47,9414.5,1385.3,9.238
23/12/10,80.522,115.02,1256.77,108.39,1205.23,92.93,0.6554,2665.6,513.72,93.94,9270,1380,9.13
24/12/10,80.474,115.32,1256.77,108.39,1205.23,92.93,0.6474,2665.6,513.72,92.99,9391,1384.65,9.13
27/12/10,80.366,115.19,1257.54,108.6,1206.65,93.76,0.6394,2667.27,515.7,93.28,9391,1383.78,9.107
28/12/10,80.365,115.36,1258.51,107.31,1207.55,91.61,0.7433,2662.88,517.73,93.81,9391,1405.95,9.055
29/12/10,79.796,115.8,1259.78,108.12,1208.95,93.16,0.6329,2666.93,517.72,93.6,9465,1411.78,9.169
30/12/10,79.521,116.05,1257.88,108.17,1210.18,93.09,0.6408,2662.98,518.66,92.43,9580,1404.65,9.138
31/12/10,79.028,116.46,1257.64,108.44,1211.19,94.12,0.5934,2652.87,520.33,94.3,9739.5,1421.4,9
3/1/11,79.127,116.27,1271.87,108.86,1215.67,93.41,0.5933,2691.52,523.47,94.73,9739.5,1414.8,9.211
4/1/11,79.444,116.04,1270.2,109,1218.41,93.52,0.6171,2681.25,521.68,92.98,9754,1380.5,9.25
5/1/11,80.258,115.78,1276.56,108.2,1219.25,91.46,0.7045,2702.2,524.17,95.09,9461,1378.25,9.371
6/1/11,80.791,115.72,1273.85,108.365,1221.49,91.86,0.6648,2709.89,523.85,93.92,9591,1371.56,9.293
7/1/11,81.012,115.73,1271.5,108.91,1222.23,92.35,0.5931,2703.17,522.03,93.26,9399,1369.54,9.275
10/1/11,80.881,115.47,1269.75,109.1,1222.17,92.85,0.5691,2707.8,525.62,95.19,9384,1375.71,9.234
